Timestamp,CPU_Percent,Memory_MB,Working_Set_MB,ProcessName
2026-05-12 22:12:00,0,1612.81,13.29,main
2026-05-12 22:12:01,0.00,1612.81,13.29,main
2026-05-12 22:12:02,0.00,1612.81,13.29,main
2026-05-12 22:12:03,0.00,1614.50,15.20,main
2026-05-12 22:12:04,0.88,1904.93,22.16,main
2026-05-12 22:12:05,0.12,1904.93,22.25,main
2026-05-12 22:12:06,0.00,1904.93,22.25,main
2026-05-12 22:12:07,0.00,1904.93,22.25,main
2026-05-12 22:12:08,0.12,1904.93,22.29,main
2026-05-12 22:12:09,0.00,1904.93,22.30,main
2026-05-12 22:12:10,0.00,1904.93,22.33,main
2026-05-12 22:12:11,0.25,1904.93,22.34,main
2026-05-12 22:12:12,0.12,1904.93,22.35,main
2026-05-12 22:12:13,0.12,1904.93,22.36,main
2026-05-12 22:12:15,0.25,1976.93,22.69,main
2026-05-12 22:12:16,0.25,1977.18,22.70,main
2026-05-12 22:12:17,0.25,1977.18,22.70,main
2026-05-12 22:12:18,0.25,1977.18,22.70,main
2026-05-12 22:12:19,0.50,1977.20,22.75,main
2026-05-12 22:12:20,0.12,1977.20,22.75,main
2026-05-12 22:12:21,0.50,1977.20,22.77,main
2026-05-12 22:12:22,0.25,1977.20,22.77,main
2026-05-12 22:12:23,0.62,1977.20,22.64,main
2026-05-12 22:12:24,0.50,1977.20,22.64,main
2026-05-12 22:12:25,0.12,1977.21,22.64,main
2026-05-12 22:12:26,0.75,1977.21,22.82,main
2026-05-12 22:12:27,0.62,1977.21,22.52,main
2026-05-12 22:12:28,0.25,1977.21,22.52,main
2026-05-12 22:12:29,0.62,1977.46,22.54,main
2026-05-12 22:12:30,0.62,1977.46,22.60,main
2026-05-12 22:12:32,0.50,1977.46,22.67,main
2026-05-12 22:12:33,1.00,1977.46,22.81,main
2026-05-12 22:12:34,0.38,1977.46,22.81,main
2026-05-12 22:12:35,0.62,1977.46,22.84,main
2026-05-12 22:12:36,0.88,1977.46,22.80,main
2026-05-12 22:12:37,0.38,1977.46,22.80,main
2026-05-12 22:12:38,0.88,1977.46,22.81,main
2026-05-12 22:12:39,0.75,1977.46,23.00,main
2026-05-12 22:12:40,0.50,1977.46,22.64,main
2026-05-12 22:12:41,1.12,1977.46,22.70,main
2026-05-12 22:12:42,0.88,1977.46,22.75,main
2026-05-12 22:12:43,0.50,1977.46,22.81,main
2026-05-12 22:12:44,1.25,1977.46,22.82,main
2026-05-12 22:12:45,0.88,1977.46,22.90,main
2026-05-12 22:12:46,0.88,1977.46,22.79,main
2026-05-12 22:12:47,1.38,1977.46,22.76,main
2026-05-12 22:12:48,0.62,1977.46,22.76,main
2026-05-12 22:12:50,1.12,1977.46,22.80,main
2026-05-12 22:12:51,1.38,1977.46,23.10,main
2026-05-12 22:12:52,0.62,1977.46,23.10,main
2026-05-12 22:12:53,1.50,1977.46,22.82,main
2026-05-12 22:12:54,1.12,1977.46,22.53,main
2026-05-12 22:12:55,0.75,1977.46,22.81,main
2026-05-12 22:12:56,1.50,1977.46,23.18,main
2026-05-12 22:12:57,1.00,1977.46,23.32,main
2026-05-12 22:12:58,1.12,1977.46,23.40,main
2026-05-12 22:12:59,1.62,1977.46,23.41,main
2026-05-12 22:13:00,1.00,1977.46,23.29,main
2026-05-12 22:13:01,1.25,1977.46,23.16,main
2026-05-12 22:13:02,1.50,1977.46,23.25,main
2026-05-12 22:13:03,1.00,1977.46,23.40,main
2026-05-12 22:13:04,1.38,1977.46,23.36,main
2026-05-12 22:13:05,1.38,1977.46,23.39,main
2026-05-12 22:13:06,1.25,1977.46,23.33,main
2026-05-12 22:13:08,1.62,1977.46,23.48,main
2026-05-12 22:13:09,1.25,1977.46,23.48,main
2026-05-12 22:13:10,1.38,1977.46,23.34,main
2026-05-12 22:13:11,1.50,1977.46,23.48,main
2026-05-12 22:13:12,0.50,1977.46,23.66,main
2026-05-12 22:13:13,1.50,1977.46,23.14,main
2026-05-12 22:13:14,1.38,1977.46,23.39,main
