Timestamp,CPU_Percent,Memory_MB,Working_Set_MB,ProcessName
2026-05-07 22:19:06,0,22.82,25.51,main
2026-05-07 22:19:07,0,22.82,25.51,main
2026-05-07 22:19:08,0,22.82,25.51,main
2026-05-07 22:19:09,0,22.82,25.51,main
2026-05-07 22:19:10,0,22.79,25.57,main
2026-05-07 22:19:11,0,22.79,25.57,main
2026-05-07 22:19:12,0.2,22.79,25.61,main
2026-05-07 22:19:13,0,22.79,25.61,main
2026-05-07 22:19:14,0,22.79,25.61,main
2026-05-07 22:19:15,0,22.79,25.61,main
2026-05-07 22:19:16,0,22.79,25.61,main
2026-05-07 22:19:17,0,22.79,25.63,main
2026-05-07 22:19:18,0.2,22.79,25.66,main
2026-05-07 22:19:19,0,22.82,25.72,main
2026-05-07 22:19:20,0,23.13,25.97,main
2026-05-07 22:19:21,0,23.24,26.08,main
2026-05-07 22:19:22,0,23.36,26.18,main
2026-05-07 22:19:23,0,23.65,26.42,main
2026-05-07 22:19:24,0.2,24.06,26.95,main
2026-05-07 22:19:25,0,24.17,27.04,main
2026-05-07 22:19:26,0.39,24.2,27.1,main
2026-05-07 22:19:27,0.2,24.2,27.12,main
2026-05-07 22:19:28,0.39,24.26,27.21,main
2026-05-07 22:19:29,0,24.26,27.23,main
2026-05-07 22:19:30,0,24.23,27.23,main
2026-05-07 22:19:31,0,24.23,27.23,main
2026-05-07 22:19:32,0,24.23,27.23,main
2026-05-07 22:19:33,0,24.28,27.27,main
2026-05-07 22:19:34,0,24.28,27.29,main
2026-05-07 22:19:35,0,24.28,27.3,main
2026-05-07 22:19:36,1.17,24.37,27.4,main
2026-05-07 22:19:37,0,24.37,27.42,main
2026-05-07 22:19:38,0,24.18,27.25,main
2026-05-07 22:19:39,0,24.18,27.25,main
2026-05-07 22:19:40,0.2,24.25,27.31,main
2026-05-07 22:19:41,0.39,24.25,27.32,main
2026-05-07 22:19:42,0,24.25,27.32,main
2026-05-07 22:19:43,0.59,24.25,27.32,main
2026-05-07 22:19:44,0.2,24.25,27.32,main
2026-05-07 22:19:45,0.2,24.25,27.32,main
2026-05-07 22:19:46,0,24.25,27.32,main
2026-05-07 22:19:48,0.39,24.53,27.58,main
2026-05-07 22:19:49,0.59,24.16,27.26,main
2026-05-07 22:19:50,0.2,24.18,27.27,main
2026-05-07 22:19:51,0.59,24.18,27.27,main
2026-05-07 22:19:52,0.2,24.18,27.27,main
2026-05-07 22:19:53,0,24.38,27.45,main
2026-05-07 22:19:54,0,24.38,27.46,main
2026-05-07 22:19:55,0.59,24.19,27.29,main
2026-05-07 22:19:56,0.59,24.19,27.3,main
2026-05-07 22:19:57,0.39,24.44,27.52,main
2026-05-07 22:19:58,0.98,24.09,27.2,main
2026-05-07 22:19:59,0.59,24.18,27.27,main
2026-05-07 22:20:00,0.78,24.18,27.28,main
2026-05-07 22:20:01,1.17,24.31,27.41,main
2026-05-07 22:20:02,0.2,24.06,27.19,main
2026-05-07 22:20:03,0.78,24.18,27.32,main
2026-05-07 22:20:04,0.2,24.18,27.32,main
2026-05-07 22:20:05,0.78,24.49,27.57,main
2026-05-07 22:20:06,0.39,23.55,26.69,main
2026-05-07 22:20:07,0.2,23.7,26.83,main
2026-05-07 22:20:08,0.2,23.84,26.96,main
2026-05-07 22:20:09,1.37,23.76,26.89,main
2026-05-07 22:20:10,0.59,23.57,26.72,main
2026-05-07 22:20:11,0.2,23.93,27.03,main
2026-05-07 22:20:12,0.98,24.19,27.29,main
2026-05-07 22:20:13,0.59,23.94,27.07,main
2026-05-07 22:20:14,0,23.99,27.12,main
2026-05-07 22:20:15,0.39,24.08,27.23,main
2026-05-07 22:20:16,0.39,24.08,27.23,main
2026-05-07 22:20:17,0.39,24.11,27.26,main
2026-05-07 22:20:18,0.59,24.18,27.34,main
2026-05-07 22:20:19,0.2,23.8,26.96,main
2026-05-07 22:20:20,0.39,23.8,26.96,main
2026-05-07 22:20:21,0.2,23.68,26.85,main
2026-05-07 22:20:22,0.2,23.68,26.85,main
2026-05-07 22:20:23,0.98,23.71,26.88,main
2026-05-07 22:20:24,0.78,23.87,27.05,main
2026-05-07 22:20:25,0.39,23.91,27.07,main
2026-05-07 22:20:26,0.78,24.17,27.31,main
2026-05-07 22:20:27,0.59,23.98,27.13,main
2026-05-07 22:20:28,0.59,24.12,27.25,main
2026-05-07 22:20:29,0.59,23.57,26.77,main
2026-05-07 22:20:30,0.2,23.57,26.77,main
2026-05-07 22:20:31,0,23.46,26.66,main
2026-05-07 22:20:32,0,23.46,26.67,main
2026-05-07 22:20:33,1.56,24,27.12,main
2026-05-07 22:20:34,1.17,24.07,27.25,main
2026-05-07 22:20:35,0.2,23.82,27.01,main
2026-05-07 22:20:36,0.39,23.32,26.53,main
2026-05-07 22:20:37,1.37,23.52,26.73,main
2026-05-07 22:20:38,0.39,23.32,26.53,main
2026-05-07 22:20:39,0.59,23.82,26.99,main
2026-05-07 22:20:40,1.37,23.61,26.8,main
2026-05-07 22:20:41,0.39,23.79,26.94,main
2026-05-07 22:20:42,1.56,23.98,27.16,main
2026-05-07 22:20:43,0.2,23.89,27.07,main
2026-05-07 22:20:44,0.59,23.98,27.17,main
2026-05-07 22:20:45,0.39,23.86,27.07,main
2026-05-07 22:20:46,0.39,23.61,26.82,main
2026-05-07 22:20:47,0.59,23.54,26.76,main
2026-05-07 22:20:48,0.78,23.68,26.9,main
2026-05-07 22:20:49,0,23.36,26.59,main
2026-05-07 22:20:50,0.39,23.54,26.75,main
2026-05-07 22:20:51,0.39,23.61,26.81,main
2026-05-07 22:20:52,0.39,23.4,26.62,main
2026-05-07 22:20:53,0.39,23.33,26.56,main
2026-05-07 22:20:54,2.15,23.25,26.48,main
2026-05-07 22:20:55,0.98,23.39,26.64,main
2026-05-07 22:20:56,0.59,23.51,26.76,main
2026-05-07 22:20:57,1.76,24.22,27.41,main
2026-05-07 22:20:58,0.59,23.35,26.61,main
2026-05-07 22:20:59,0.78,23.55,26.8,main
2026-05-07 22:21:00,0.39,23.51,26.75,main
